City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,mount gambier,-37.8333,140.7667,53.97800000000001,68,100,3.77,AU,08/10/2023
95,betio village,1.358,172.9211,89.63600000000002,73,29,2.01,KI,08/10/2023
96,udachny,66.4167,112.4,62.45599999999996,58,91,7.68,RU,08/10/2023
97,tolanaro,-25.0319,46.9987,66.27199999999999,94,40,1.03,MG,08/10/2023
98,aasiaat,68.7098,-52.8699,37.47199999999998,91,93,4.75,GL,08/10/2023
99,grand falls-windsor,48.9332,-55.6649,56.49799999999999,89,100,0.45,CA,08/10/2023
100,umm kaddadah,13.6017,26.6876,80.07800000000003,66,34,4.17,SD,08/10/2023
101,gamba,-2.65,10.0,69.96199999999993,94,100,0.95,GA,08/10/2023
102,alesund,62.4723,6.1549,54.75200000000001,90,100,2.57,NO,08/10/2023
103,bushehr,28.9684,50.8385,93.2899999999999,55,75,3.09,IR,08/10/2023
104,serdar,38.9764,56.2757,89.45599999999996,19,0,1.77,TM,08/10/2023
105,leua,48.2156,18.6071,53.06,95,7,1.07,SK,08/10/2023
106,qaqortoq,60.7167,-46.0333,42.45799999999997,85,9,0.81,GL,08/10/2023
107,constantia,44.1833,28.65,66.88399999999984,71,77,6.26,RO,08/10/2023
108,mabaruma,8.2,-59.7833,76.13600000000002,94,49,1.81,GY,08/10/2023
109,college,64.8569,-147.8028,71.58199999999994,71,75,2.57,US,08/10/2023
110,dryden,49.7833,-92.7503,55.68799999999993,82,75,1.54,CA,08/10/2023
111,marion,39.7684,-86.1555,68.61199999999991,96,100,3.6,US,08/10/2023
112,yellowknife,62.456,-114.3525,69.56599999999997,49,75,4.12,CA,08/10/2023
113,punto fijo,11.6956,-70.1996,83.08399999999989,78,8,9.67,VE,08/10/2023
114,cruzeiro do sul,-29.5128,-51.9853,64.50799999999998,95,100,0.3,BR,08/10/2023
115,kavaratti,10.5669,72.642,81.80599999999998,78,100,7.89,IN,08/10/2023
116,hithadhoo,-0.6,73.0833,81.05000000000001,75,67,2.26,MV,08/10/2023
117,serhiyivka,46.0272,30.3768,69.06199999999995,62,25,6.56,UA,08/10/2023
118,queenstown,-31.8976,26.8753,46.83199999999994,81,21,1.43,ZA,08/10/2023
119,kasongo-lunda,-6.4667,16.8167,69.06199999999995,56,47,1.03,CD,08/10/2023
120,nuku'alofa,-21.1333,-175.2,77.34199999999993,83,75,4.12,TO,08/10/2023
121,howard springs,-12.497,131.047,86.82800000000003,29,59,4.75,AU,08/10/2023
122,blackwater,-23.5833,148.8833,74.69599999999997,56,0,2.81,AU,08/10/2023
123,port elizabeth,-33.918,25.5701,57.488,88,20,5.14,ZA,08/10/2023
124,leshan,29.5623,103.7639,85.45999999999998,81,68,1.88,CN,08/10/2023
125,ulverstone,-41.15,146.1667,54.877999999999986,68,80,5.72,AU,08/10/2023
126,sao raimundo nonato,-9.0153,-42.6994,71.27600000000012,65,0,1.66,BR,08/10/2023
127,vanino,49.0869,140.2543,61.214,81,100,2.53,RU,08/10/2023
128,iranshahr,27.2025,60.6848,93.54199999999997,27,43,0.0,IR,08/10/2023
129,kristiansund,63.1115,7.732,50.648000000000025,93,75,1.54,NO,08/10/2023
130,siracusa,37.0881,15.2792,71.18599999999998,69,8,2.51,IT,08/10/2023
131,illizi,26.4833,8.4667,78.60200000000003,16,0,3.46,DZ,08/10/2023
132,rongelap,11.1635,166.8941,83.10200000000003,75,13,4.67,MH,08/10/2023
133,anadyr,64.75,177.4833,57.70400000000001,67,75,4.92,RU,08/10/2023
134,georgetown,5.4112,100.3354,82.34599999999995,82,20,1.54,MY,08/10/2023
135,xilin hot,43.9667,116.0333,80.618,42,87,3.49,CN,08/10/2023
136,dudinka,69.4058,86.1778,58.622000000000014,60,100,9.92,RU,08/10/2023
137,codrington,-38.2667,141.9667,54.103999999999985,73,100,6.41,AU,08/10/2023
138,minas de marcona,-15.2119,-75.1103,54.698000000000036,88,27,4.72,PE,08/10/2023
139,saguenay,48.4168,-71.0657,59.81,93,20,2.06,CA,08/10/2023
140,uturoa,-16.7333,-151.4333,76.80199999999996,71,74,8.09,PF,08/10/2023
